"","GeneID","F_heteroclitusMDPP_BW_1.quant","F_heteroclitusMDPP_BW_2.quant","F_heteroclitusMDPP_BW_3.quant","F_heteroclitusMDPP_FW_1.quant","F_heteroclitusMDPP_FW_2.quant","F_heteroclitusMDPP_FW_3.quant","F_heteroclitusMDPP_transfer_1.quant","F_heteroclitusMDPP_transfer_2.quant","F_heteroclitusMDPP_transfer_3.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","baseMean_BW_v_FW","log2FC_BW_v_FW","lfcSE_BW_v_FW","stat_BW_v_FW","pvalue_BW_v_FW","padj_BW_v_FW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"96461","ENSXMAP00000016732","20.5879279952565","10.9093893836094","24.1991248946293","114.84021442855","72.6728360633972","173.385511997065","52.0601997326917","57.3717407336302","67.8451378256998",65.9857870060588,-1.02555221483658,0.46342939699113,-2.21296322912421,0.0269001808447204,0.744391203800683,65.9857870060588,1.69550242505573,0.492532605400079,3.4424166166187,0.000576541574886321,0.119509594786852,65.9857870060588,-2.72105463989231,0.482777293491589,-5.63625231877173,1.73790690638034e-08,2.2810028146242e-05,"TRINITY_DN198865_c1_g3_i1","TRINITY_DN198865_c1_g3","Transcript_104695","gi|831523003|ref|XP_012718187.1| PREDICTED: G-protein coupled receptor family C group 5 member C-like [Fundulus heteroclitus]"
"23116","ENSONIP00000024852","0","0","0","46.6351129910221","27.6380712712937","87.6319098303858","10.4530620735268","0.897970660250407","12.7005334372017",20.6618511404089,-2.76528613035674,1.03877725065155,-2.66205880868327,0.00776643081772406,0.448344958558284,20.6618511404089,5.4474962470778,1.56663341259697,3.47719907112642,0.000506681469173875,0.10906805817688,20.6618511404089,-8.21278237743454,1.53913372353201,-5.33597714861827,9.50313705777512e-08,9.76137447782335e-05,"TRINITY_DN212891_c9_g3_i9","TRINITY_DN212891_c9_g3","Transcript_484831","gi|831558852|ref|XP_012730850.1| PREDICTED: ubiquitin-associated protein 2-like isoform X1 [Fundulus heteroclitus]"
"23117","ENSONIP00000024852","0","0","0","46.6351129910221","27.6380712712937","87.6319098303858","10.4530620735268","0.897970660250407","12.7005334372017",20.6618511404089,-2.76528613035674,1.03877725065155,-2.66205880868327,0.00776643081772406,0.448344958558284,20.6618511404089,5.4474962470778,1.56663341259697,3.47719907112642,0.000506681469173875,0.10906805817688,20.6618511404089,-8.21278237743454,1.53913372353201,-5.33597714861827,9.50313705777512e-08,9.76137447782335e-05,"TRINITY_DN212891_c9_g3_i3","TRINITY_DN212891_c9_g3","Transcript_484825","gi|831558858|ref|XP_012730852.1| PREDICTED: ubiquitin-associated protein 2-like isoform X3 [Fundulus heteroclitus]"
"23118","ENSONIP00000024852","0","0","0","46.6351129910221","27.6380712712937","87.6319098303858","10.4530620735268","0.897970660250407","12.7005334372017",20.6618511404089,-2.76528613035674,1.03877725065155,-2.66205880868327,0.00776643081772406,0.448344958558284,20.6618511404089,5.4474962470778,1.56663341259697,3.47719907112642,0.000506681469173875,0.10906805817688,20.6618511404089,-8.21278237743454,1.53913372353201,-5.33597714861827,9.50313705777512e-08,9.76137447782335e-05,"TRINITY_DN212891_c9_g3_i9","TRINITY_DN212891_c9_g3","Transcript_484831","gi|831558861|ref|XP_012730853.1| PREDICTED: ubiquitin-associated protein 2-like isoform X4 [Fundulus heteroclitus]"
"23119","ENSONIP00000024852","0","0","0","46.6351129910221","27.6380712712937","87.6319098303858","10.4530620735268","0.897970660250407","12.7005334372017",20.6618511404089,-2.76528613035674,1.03877725065155,-2.66205880868327,0.00776643081772406,0.448344958558284,20.6618511404089,5.4474962470778,1.56663341259697,3.47719907112642,0.000506681469173875,0.10906805817688,20.6618511404089,-8.21278237743454,1.53913372353201,-5.33597714861827,9.50313705777512e-08,9.76137447782335e-05,"TRINITY_DN212891_c9_g3_i7","TRINITY_DN212891_c9_g3","Transcript_484829","gi|831558852|ref|XP_012730850.1| PREDICTED: ubiquitin-associated protein 2-like isoform X1 [Fundulus heteroclitus]"
"23120","ENSONIP00000024852","0","0","0","46.6351129910221","27.6380712712937","87.6319098303858","10.4530620735268","0.897970660250407","12.7005334372017",20.6618511404089,-2.76528613035674,1.03877725065155,-2.66205880868327,0.00776643081772406,0.448344958558284,20.6618511404089,5.4474962470778,1.56663341259697,3.47719907112642,0.000506681469173875,0.10906805817688,20.6618511404089,-8.21278237743454,1.53913372353201,-5.33597714861827,9.50313705777512e-08,9.76137447782335e-05,"TRINITY_DN212891_c9_g3_i7","TRINITY_DN212891_c9_g3","Transcript_484829","gi|831558861|ref|XP_012730853.1| PREDICTED: ubiquitin-associated protein 2-like isoform X4 [Fundulus heteroclitus]"
"23121","ENSONIP00000024852","0","0","0","46.6351129910221","27.6380712712937","87.6319098303858","10.4530620735268","0.897970660250407","12.7005334372017",20.6618511404089,-2.76528613035674,1.03877725065155,-2.66205880868327,0.00776643081772406,0.448344958558284,20.6618511404089,5.4474962470778,1.56663341259697,3.47719907112642,0.000506681469173875,0.10906805817688,20.6618511404089,-8.21278237743454,1.53913372353201,-5.33597714861827,9.50313705777512e-08,9.76137447782335e-05,"TRINITY_DN212891_c9_g3_i9","TRINITY_DN212891_c9_g3","Transcript_484831","gi|831558864|ref|XP_012730854.1| PREDICTED: ubiquitin-associated protein 2-like isoform X5 [Fundulus heteroclitus]"
"23122","ENSONIP00000024852","0","0","0","46.6351129910221","27.6380712712937","87.6319098303858","10.4530620735268","0.897970660250407","12.7005334372017",20.6618511404089,-2.76528613035674,1.03877725065155,-2.66205880868327,0.00776643081772406,0.448344958558284,20.6618511404089,5.4474962470778,1.56663341259697,3.47719907112642,0.000506681469173875,0.10906805817688,20.6618511404089,-8.21278237743454,1.53913372353201,-5.33597714861827,9.50313705777512e-08,9.76137447782335e-05,"TRINITY_DN212891_c9_g3_i5","TRINITY_DN212891_c9_g3","Transcript_484827","gi|831558852|ref|XP_012730850.1| PREDICTED: ubiquitin-associated protein 2-like isoform X1 [Fundulus heteroclitus]"
"23123","ENSONIP00000024852","0","0","0","46.6351129910221","27.6380712712937","87.6319098303858","10.4530620735268","0.897970660250407","12.7005334372017",20.6618511404089,-2.76528613035674,1.03877725065155,-2.66205880868327,0.00776643081772406,0.448344958558284,20.6618511404089,5.4474962470778,1.56663341259697,3.47719907112642,0.000506681469173875,0.10906805817688,20.6618511404089,-8.21278237743454,1.53913372353201,-5.33597714861827,9.50313705777512e-08,9.76137447782335e-05,"TRINITY_DN212891_c9_g3_i3","TRINITY_DN212891_c9_g3","Transcript_484825","gi|831558864|ref|XP_012730854.1| PREDICTED: ubiquitin-associated protein 2-like isoform X5 [Fundulus heteroclitus]"
"23124","ENSONIP00000024852","0","0","0","46.6351129910221","27.6380712712937","87.6319098303858","10.4530620735268","0.897970660250407","12.7005334372017",20.6618511404089,-2.76528613035674,1.03877725065155,-2.66205880868327,0.00776643081772406,0.448344958558284,20.6618511404089,5.4474962470778,1.56663341259697,3.47719907112642,0.000506681469173875,0.10906805817688,20.6618511404089,-8.21278237743454,1.53913372353201,-5.33597714861827,9.50313705777512e-08,9.76137447782335e-05,"TRINITY_DN212891_c9_g3_i3","TRINITY_DN212891_c9_g3","Transcript_484825","gi|831558855|ref|XP_012730851.1| PREDICTED: ubiquitin-associated protein 2-like isoform X2 [Fundulus heteroclitus]"
