"","GeneID","A_xenica_BW_1.quant","A_xenica_BW_2.quant","A_xenica_BW_3.quant","A_xenica_FW_1.quant","A_xenica_FW_2.quant","A_xenica_FW_3.quant","A_xenica_transfer_1.quant","A_xenica_transfer_2.quant","A_xenica_transfer_3.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"130702","ENSXMAP00000018060","260.532311858003","285.296292065225","311.039053301156","456.04461083597","598.345027437709","285.590126114546","144.297495515451","172.741877530431","136.259545417525",294.46070445289,-1.55633172001027,0.29066823600015,-5.3543233393052,8.58771757739307e-08,5.60323313932023e-05,294.46070445289,-0.915325890780327,0.290612579020504,-3.14964305352986,0.00163470054884963,0.0865493961233418,"TRINITY_DN116463_c4_g4_i4","TRINITY_DN116463_c4_g4","Transcript_176495","gi|831508693|ref|XP_012713324.1| PREDICTED: serine/threonine-protein kinase Sgk1-like [Fundulus heteroclitus]"
"130703","ENSXMAP00000018060","260.532311858003","285.296292065225","311.039053301156","456.04461083597","598.345027437709","285.590126114546","144.297495515451","172.741877530431","136.259545417525",294.46070445289,-1.55633172001027,0.29066823600015,-5.3543233393052,8.58771757739307e-08,5.60323313932023e-05,294.46070445289,-0.915325890780327,0.290612579020504,-3.14964305352986,0.00163470054884963,0.0865493961233418,"TRINITY_DN116463_c4_g4_i2","TRINITY_DN116463_c4_g4","Transcript_176493","gi|831508693|ref|XP_012713324.1| PREDICTED: serine/threonine-protein kinase Sgk1-like [Fundulus heteroclitus]"
"130704","ENSXMAP00000018060","260.532311858003","285.296292065225","311.039053301156","456.04461083597","598.345027437709","285.590126114546","144.297495515451","172.741877530431","136.259545417525",294.46070445289,-1.55633172001027,0.29066823600015,-5.3543233393052,8.58771757739307e-08,5.60323313932023e-05,294.46070445289,-0.915325890780327,0.290612579020504,-3.14964305352986,0.00163470054884963,0.0865493961233418,"TRINITY_DN111970_c2_g1_i2","TRINITY_DN111970_c2_g1","Transcript_249082","gi|831508693|ref|XP_012713324.1| PREDICTED: serine/threonine-protein kinase Sgk1-like [Fundulus heteroclitus]"
"130705","ENSXMAP00000018060","260.532311858003","285.296292065225","311.039053301156","456.04461083597","598.345027437709","285.590126114546","144.297495515451","172.741877530431","136.259545417525",294.46070445289,-1.55633172001027,0.29066823600015,-5.3543233393052,8.58771757739307e-08,5.60323313932023e-05,294.46070445289,-0.915325890780327,0.290612579020504,-3.14964305352986,0.00163470054884963,0.0865493961233418,"TRINITY_DN116463_c4_g4_i3","TRINITY_DN116463_c4_g4","Transcript_176494","gi|831508693|ref|XP_012713324.1| PREDICTED: serine/threonine-protein kinase Sgk1-like [Fundulus heteroclitus]"
"130706","ENSXMAP00000018060","260.532311858003","285.296292065225","311.039053301156","456.04461083597","598.345027437709","285.590126114546","144.297495515451","172.741877530431","136.259545417525",294.46070445289,-1.55633172001027,0.29066823600015,-5.3543233393052,8.58771757739307e-08,5.60323313932023e-05,294.46070445289,-0.915325890780327,0.290612579020504,-3.14964305352986,0.00163470054884963,0.0865493961233418,"TRINITY_DN111970_c2_g1_i1","TRINITY_DN111970_c2_g1","Transcript_249081","gi|831508693|ref|XP_012713324.1| PREDICTED: serine/threonine-protein kinase Sgk1-like [Fundulus heteroclitus]"
"102567","ENSXMAP00000011822","30.9024586857898","15.6272912998792","31.8118313839864","8.03552743348955","12.6382486635984","6.85677811568598","62.8794970076498","44.708327433383","75.5603143756453",32.113363822123,2.81651381305771,0.540813951616309,5.20791633544235,1.90972991744994e-07,0.000111488022338709,32.113363822123,1.21377160905762,0.488348415522627,2.48546236759804,0.0129383266043771,0.274931284162661,"TRINITY_DN112086_c9_g1_i1","TRINITY_DN112086_c9_g1","Transcript_158633","gi|831535352|ref|XP_012722580.1| PREDICTED: neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1 [Fundulus heteroclitus]"
"102568","ENSXMAP00000011822","30.9024586857898","15.6272912998792","31.8118313839864","8.03552743348955","12.6382486635984","6.85677811568598","62.8794970076498","44.708327433383","75.5603143756453",32.113363822123,2.81651381305771,0.540813951616309,5.20791633544235,1.90972991744994e-07,0.000111488022338709,32.113363822123,1.21377160905762,0.488348415522627,2.48546236759804,0.0129383266043771,0.274931284162661,"TRINITY_DN112086_c4_g1_i1","TRINITY_DN112086_c4_g1","Transcript_158614","gi|831535352|ref|XP_012722580.1| PREDICTED: neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1 [Fundulus heteroclitus]"
"102569","ENSXMAP00000011822","30.9024586857898","15.6272912998792","31.8118313839864","8.03552743348955","12.6382486635984","6.85677811568598","62.8794970076498","44.708327433383","75.5603143756453",32.113363822123,2.81651381305771,0.540813951616309,5.20791633544235,1.90972991744994e-07,0.000111488022338709,32.113363822123,1.21377160905762,0.488348415522627,2.48546236759804,0.0129383266043771,0.274931284162661,"TRINITY_DN112086_c0_g1_i1","TRINITY_DN112086_c0_g1","Transcript_158611","gi|831535352|ref|XP_012722580.1| PREDICTED: neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1 [Fundulus heteroclitus]"
"152262","gi|831535454|ref|XP_012722614.1| PREDICTED: lysophosphatidic acid receptor 6-like [Fundulus heteroclitus]","147.973931598362","211.867082409146","190.436740705501","352.357920339659","279.217541867247","226.399719071481","75.2854572858101","128.475554234891","82.2947298256553",188.256519704195,-1.57379220795403,0.308640668734521,-5.09910833982718,3.41257197493943e-07,0.000194114094082196,188.256519704195,-0.928731177348679,0.308577905276331,-3.00971379177976,0.00261493972237068,0.116485587953958,"TRINITY_DN103713_c0_g4_i1","TRINITY_DN103713_c0_g4","Transcript_317686","gi|831535454|ref|XP_012722614.1| PREDICTED: lysophosphatidic acid receptor 6-like [Fundulus heteroclitus]"
"90814","ENSXMAP00000009700","909.961053997208","1395.46095919511","944.190681536464","2324.66212157827","2765.88494423714","680.084268043522","465.746042604412","378.722086659971","448.028525314665",1145.86007590742,-2.1586846402918,0.427250527918236,-5.05250315502224,4.36057151735761e-07,0.000230321234621574,1145.86007590742,-1.33039564882549,0.42731285628321,-3.1133995368109,0.00184945462762885,0.0928242114464218,"TRINITY_DN112824_c4_g1_i6","TRINITY_DN112824_c4_g1","Transcript_227380","gi|831532437|ref|XP_012721541.1| PREDICTED: uncharacterized protein LOC105928685 isoform X1 [Fundulus heteroclitus]"
"154448","gi|831547414|ref|XP_012726939.1| PREDICTED: circadian-associated transcriptional repressor-like [Fundulus heteroclitus]","600.317597931956","596.077333659173","631.940537580183","1116.4932820702","921.726115472458","615.741532231717","348.796459043506","444.413543989551","381.25763307306",628.529337227978,-1.17436979070787,0.237929833842609,-4.93578199816977,7.98302397272145e-07,0.000402489554115574,628.529337227978,-0.636183709660194,0.237762303845448,-2.67571309400556,0.00745704509403318,0.20678386045754,"TRINITY_DN109943_c6_g2_i2","TRINITY_DN109943_c6_g2","Transcript_353366","gi|831547414|ref|XP_012726939.1| PREDICTED: circadian-associated transcriptional repressor-like [Fundulus heteroclitus]"
"121564","ENSXMAP00000016145","584.640445234823","821.081491028003","598.046225399528","1860.12347920431","1994.63159631034","679.834102706576","473.133480366674","456.948069523315","416.660785957869",876.122186192382,-1.75167680659272,0.362202837628998,-4.83617637581005,1.32360487009639e-06,0.000575742165455259,876.122186192382,-0.572948608264971,0.362471019821265,-1.58067425237883,0.113952538438152,0.683222462895126,"TRINITY_DN117886_c5_g1_i3","TRINITY_DN117886_c5_g1","Transcript_291663","gi|831559435|ref|XP_012731043.1| PREDICTED: 5'-nucleotidase domain-containing protein 2-like [Fundulus heteroclitus]"
"121565","ENSXMAP00000016145","584.640445234823","821.081491028003","598.046225399528","1860.12347920431","1994.63159631034","679.834102706576","473.133480366674","456.948069523315","416.660785957869",876.122186192382,-1.75167680659272,0.362202837628998,-4.83617637581005,1.32360487009639e-06,0.000575742165455259,876.122186192382,-0.572948608264971,0.362471019821265,-1.58067425237883,0.113952538438152,0.683222462895126,"TRINITY_DN112731_c1_g1_i5","TRINITY_DN112731_c1_g1","Transcript_250398","gi|831559435|ref|XP_012731043.1| PREDICTED: 5'-nucleotidase domain-containing protein 2-like [Fundulus heteroclitus]"
"121566","ENSXMAP00000016145","584.640445234823","821.081491028003","598.046225399528","1860.12347920431","1994.63159631034","679.834102706576","473.133480366674","456.948069523315","416.660785957869",876.122186192382,-1.75167680659272,0.362202837628998,-4.83617637581005,1.32360487009639e-06,0.000575742165455259,876.122186192382,-0.572948608264971,0.362471019821265,-1.58067425237883,0.113952538438152,0.683222462895126,"TRINITY_DN117886_c5_g1_i4","TRINITY_DN117886_c5_g1","Transcript_291664","gi|831559435|ref|XP_012731043.1| PREDICTED: 5'-nucleotidase domain-containing protein 2-like [Fundulus heteroclitus]"
"121567","ENSXMAP00000016145","584.640445234823","821.081491028003","598.046225399528","1860.12347920431","1994.63159631034","679.834102706576","473.133480366674","456.948069523315","416.660785957869",876.122186192382,-1.75167680659272,0.362202837628998,-4.83617637581005,1.32360487009639e-06,0.000575742165455259,876.122186192382,-0.572948608264971,0.362471019821265,-1.58067425237883,0.113952538438152,0.683222462895126,"TRINITY_DN112731_c1_g1_i4","TRINITY_DN112731_c1_g1","Transcript_250397","gi|831559435|ref|XP_012731043.1| PREDICTED: 5'-nucleotidase domain-containing protein 2-like [Fundulus heteroclitus]"
