"","GeneID","F_olivaceous_BW_1.quant","F_olivaceous_BW_2.quant","F_olivaceous_BW_3.quant","F_olivaceous_FW_1.quant","F_olivaceous_FW_2.quant","F_olivaceous_FW_3.quant","F_olivaceous_transfer_1.quant","F_olivaceous_transfer_2.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","baseMean_BW_v_FW","log2FC_BW_v_FW","lfcSE_BW_v_FW","stat_BW_v_FW","pvalue_BW_v_FW","padj_BW_v_FW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"111052","ENSXMAP00000014144","36.4350157747146","82.7529066261535","85.7376112318897","287.636564760845","201.148645648353","199.08118398819","120.891421873769","150.603567919491",145.535864727926,-0.768365296611162,0.361337024155847,-2.12645050256395,0.0334657664863436,0.196967070814507,145.535864727926,0.977210700579545,0.364803329095954,2.67873295729302,0.00739013055511518,0.0834996283632033,145.535864727926,-1.74557599719071,0.32128338533596,-5.43313497324298,5.5372490998635e-08,3.41417550749083e-05,"TRINITY_DN121352_c10_g1_i3","TRINITY_DN121352_c10_g1","Transcript_295975","gi|831508860|ref|XP_012713380.1| PREDICTED: LOW QUALITY PROTEIN: multidrug resistance-associated protein 5 [Fundulus heteroclitus]"
"111053","ENSXMAP00000014144","36.4350157747146","82.7529066261535","85.7376112318897","287.636564760845","201.148645648353","199.08118398819","120.891421873769","150.603567919491",145.535864727926,-0.768365296611162,0.361337024155847,-2.12645050256395,0.0334657664863436,0.196967070814507,145.535864727926,0.977210700579545,0.364803329095954,2.67873295729302,0.00739013055511518,0.0834996283632033,145.535864727926,-1.74557599719071,0.32128338533596,-5.43313497324298,5.5372490998635e-08,3.41417550749083e-05,"TRINITY_DN121352_c10_g1_i2","TRINITY_DN121352_c10_g1","Transcript_295974","gi|831508860|ref|XP_012713380.1| PREDICTED: LOW QUALITY PROTEIN: multidrug resistance-associated protein 5 [Fundulus heteroclitus]"
"111054","ENSXMAP00000014144","36.4350157747146","82.7529066261535","85.7376112318897","287.636564760845","201.148645648353","199.08118398819","120.891421873769","150.603567919491",145.535864727926,-0.768365296611162,0.361337024155847,-2.12645050256395,0.0334657664863436,0.196967070814507,145.535864727926,0.977210700579545,0.364803329095954,2.67873295729302,0.00739013055511518,0.0834996283632033,145.535864727926,-1.74557599719071,0.32128338533596,-5.43313497324298,5.5372490998635e-08,3.41417550749083e-05,"TRINITY_DN121352_c10_g1_i3","TRINITY_DN121352_c10_g1","Transcript_295975","gi|831496870|ref|XP_012709178.1| PREDICTED: multidrug resistance-associated protein 5-like [Fundulus heteroclitus]"
"111055","ENSXMAP00000014144","36.4350157747146","82.7529066261535","85.7376112318897","287.636564760845","201.148645648353","199.08118398819","120.891421873769","150.603567919491",145.535864727926,-0.768365296611162,0.361337024155847,-2.12645050256395,0.0334657664863436,0.196967070814507,145.535864727926,0.977210700579545,0.364803329095954,2.67873295729302,0.00739013055511518,0.0834996283632033,145.535864727926,-1.74557599719071,0.32128338533596,-5.43313497324298,5.5372490998635e-08,3.41417550749083e-05,"TRINITY_DN121352_c10_g2_i1","TRINITY_DN121352_c10_g2","Transcript_295976","gi|831508860|ref|XP_012713380.1| PREDICTED: LOW QUALITY PROTEIN: multidrug resistance-associated protein 5 [Fundulus heteroclitus]"
"140148","gi|831494745|ref|XP_012708424.1| PREDICTED: thyrotroph embryonic factor isoform X2 [Fundulus heteroclitus]","822.276937571043","708.7746917867","630.026386381719","302.852242861547","251.104574859958","316.284422454807","549.226727541632","260.715171284988",480.157644342799,0.493243657479442,0.286228885473126,1.72324905875285,0.0848434955111748,0.339726690063406,480.157644342799,-0.818090281184934,0.282418072864041,-2.89673487567055,0.00377068266478825,0.0531767019406916,480.157644342799,1.31133393866438,0.252901913236586,5.18514835211089,2.1584298288248e-07,0.000104153623718313,"TRINITY_DN125821_c1_g1_i1","TRINITY_DN125821_c1_g1","Transcript_205191","gi|831494745|ref|XP_012708424.1| PREDICTED: thyrotroph embryonic factor isoform X2 [Fundulus heteroclitus]"
"140673","gi|831497603|ref|XP_012709440.1| PREDICTED: complement C3-like [Fundulus heteroclitus]","0","0.362430483251938","0.75727650396635","32.4655042576263","11.7809114356478","23.5765270631925","3.96250920474199","0",9.11314486855336,-3.40130270982669,1.21386391605641,-2.80204614770723,0.00507796093158396,0.0584732313313099,9.11314486855336,2.27689896411772,1.46847197402771,1.55052258700768,0.121016136506857,0.438615145763333,9.11314486855336,-5.67820167394441,1.15396343809973,-4.92060795556479,8.62757956658412e-07,0.00033123241362315,"TRINITY_DN200290_c0_g1_i1","TRINITY_DN200290_c0_g1","Transcript_299520","gi|831497603|ref|XP_012709440.1| PREDICTED: complement C3-like [Fundulus heteroclitus]"
"140674","gi|831497603|ref|XP_012709440.1| PREDICTED: complement C3-like [Fundulus heteroclitus]","0","0.362430483251938","0.75727650396635","32.4655042576263","11.7809114356478","23.5765270631925","3.96250920474199","0",9.11314486855336,-3.40130270982669,1.21386391605641,-2.80204614770723,0.00507796093158396,0.0584732313313099,9.11314486855336,2.27689896411772,1.46847197402771,1.55052258700768,0.121016136506857,0.438615145763333,9.11314486855336,-5.67820167394441,1.15396343809973,-4.92060795556479,8.62757956658412e-07,0.00033123241362315,"TRINITY_DN118002_c0_g1_i1","TRINITY_DN118002_c0_g1","Transcript_195202","gi|831497603|ref|XP_012709440.1| PREDICTED: complement C3-like [Fundulus heteroclitus]"
"140675","gi|831497603|ref|XP_012709440.1| PREDICTED: complement C3-like [Fundulus heteroclitus]","0","0.362430483251938","0.75727650396635","32.4655042576263","11.7809114356478","23.5765270631925","3.96250920474199","0",9.11314486855336,-3.40130270982669,1.21386391605641,-2.80204614770723,0.00507796093158396,0.0584732313313099,9.11314486855336,2.27689896411772,1.46847197402771,1.55052258700768,0.121016136506857,0.438615145763333,9.11314486855336,-5.67820167394441,1.15396343809973,-4.92060795556479,8.62757956658412e-07,0.00033123241362315,"TRINITY_DN1935_c1_g1_i1","TRINITY_DN1935_c1_g1","Transcript_321353","gi|831497603|ref|XP_012709440.1| PREDICTED: complement C3-like [Fundulus heteroclitus]"
"140676","gi|831497603|ref|XP_012709440.1| PREDICTED: complement C3-like [Fundulus heteroclitus]","0","0.362430483251938","0.75727650396635","32.4655042576263","11.7809114356478","23.5765270631925","3.96250920474199","0",9.11314486855336,-3.40130270982669,1.21386391605641,-2.80204614770723,0.00507796093158396,0.0584732313313099,9.11314486855336,2.27689896411772,1.46847197402771,1.55052258700768,0.121016136506857,0.438615145763333,9.11314486855336,-5.67820167394441,1.15396343809973,-4.92060795556479,8.62757956658412e-07,0.00033123241362315,"TRINITY_DN118002_c0_g1_i2","TRINITY_DN118002_c0_g1","Transcript_195203","gi|831497603|ref|XP_012709440.1| PREDICTED: complement C3-like [Fundulus heteroclitus]"
"140771","gi|831498131|ref|XP_012709627.1| PREDICTED: prostate stem cell antigen [Fundulus heteroclitus]","192.392323452144","226.460199222867","248.103550025568","114.088010971493","119.062759623423","141.010522180774","180.452507952642","168.018375426728",173.698531106955,0.499808826977736,0.202789670904434,2.46466609836985,0.013714098416852,0.113170169260347,173.698531106955,-0.35156050699611,0.191698289941832,-1.83392615084248,0.0666649571178543,0.320138661408393,173.698531106955,0.851369333973846,0.173042999481751,4.91998715072916,8.6549894085429e-07,0.00033123241362315,"TRINITY_DN121002_c0_g1_i1","TRINITY_DN121002_c0_g1","Transcript_1374","gi|831498131|ref|XP_012709627.1| PREDICTED: prostate stem cell antigen [Fundulus heteroclitus]"
"144502","gi|831511818|ref|XP_012714363.1| PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like [Fundulus heteroclitus]","203.146633338076","199.228827964268","218.280315260299","104.984428265503","94.3583766833096","103.884034933515","106.920800262887","179.446313268899",151.281216247094,0.464038012406065,0.246539126979033,1.88220838652328,0.0598077274247586,0.279351474579935,151.281216247094,-0.567479466659984,0.234577443773094,-2.41915615385811,0.0155565604565853,0.134303598783549,151.281216247094,1.03151747906605,0.21093326667294,4.89025508084248,1.00705390495657e-06,0.000360541540779371,"TRINITY_DN126122_c2_g1_i22","TRINITY_DN126122_c2_g1_","Transcript_166900","gi|831511818|ref|XP_012714363.1| PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like [Fundulus heteroclitus]"
"144503","gi|831511818|ref|XP_012714363.1| PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like [Fundulus heteroclitus]","203.146633338076","199.228827964268","218.280315260299","104.984428265503","94.3583766833096","103.884034933515","106.920800262887","179.446313268899",151.281216247094,0.464038012406065,0.246539126979033,1.88220838652328,0.0598077274247586,0.279351474579935,151.281216247094,-0.567479466659984,0.234577443773094,-2.41915615385811,0.0155565604565853,0.134303598783549,151.281216247094,1.03151747906605,0.21093326667294,4.89025508084248,1.00705390495657e-06,0.000360541540779371,"TRINITY_DN126122_c2_g1_i27","TRINITY_DN126122_c2_g1_","Transcript_166905","gi|831511818|ref|XP_012714363.1| PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like [Fundulus heteroclitus]"
"144504","gi|831511818|ref|XP_012714363.1| PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like [Fundulus heteroclitus]","203.146633338076","199.228827964268","218.280315260299","104.984428265503","94.3583766833096","103.884034933515","106.920800262887","179.446313268899",151.281216247094,0.464038012406065,0.246539126979033,1.88220838652328,0.0598077274247586,0.279351474579935,151.281216247094,-0.567479466659984,0.234577443773094,-2.41915615385811,0.0155565604565853,0.134303598783549,151.281216247094,1.03151747906605,0.21093326667294,4.89025508084248,1.00705390495657e-06,0.000360541540779371,"TRINITY_DN126122_c2_g1_i12","TRINITY_DN126122_c2_g1_","Transcript_166890","gi|831511818|ref|XP_012714363.1| PREDICTED: 5'-AMP-activated protein kinase subunit gamma-2-like [Fundulus heteroclitus]"
"93209","ENSXMAP00000010720","12.9704523714964","7.36632921052681","6.15303662374799","53.6165715112935","30.151338968848","55.4247405808575","24.7599196003921","13.2783176099847",25.4650883096434,-1.2392866422504,0.565738539785333,-2.19056428915139,0.028483337741653,0.178504112443457,25.4650883096434,1.2028171366132,0.599642608033795,2.0058900426659,0.0448679808562772,0.25687913527943,25.4650883096434,-2.4421037788636,0.509062224095902,-4.7972598697552,1.60850862023303e-06,0.000539905900238383,"TRINITY_DN118770_c0_g1_i1","TRINITY_DN118770_c0_g1","Transcript_68915","gi|831566949|ref|XP_012733548.1| PREDICTED: alpha-1-antitrypsin homolog isoform X1 [Fundulus heteroclitus]"
"93210","ENSXMAP00000010720","12.9704523714964","7.36632921052681","6.15303662374799","53.6165715112935","30.151338968848","55.4247405808575","24.7599196003921","13.2783176099847",25.4650883096434,-1.2392866422504,0.565738539785333,-2.19056428915139,0.028483337741653,0.178504112443457,25.4650883096434,1.2028171366132,0.599642608033795,2.0058900426659,0.0448679808562772,0.25687913527943,25.4650883096434,-2.4421037788636,0.509062224095902,-4.7972598697552,1.60850862023303e-06,0.000539905900238383,"TRINITY_DN118770_c0_g1_i1","TRINITY_DN118770_c0_g1","Transcript_68915","gi|831566955|ref|XP_012733550.1| PREDICTED: alpha-1-antitrypsin homolog isoform X2 [Fundulus heteroclitus]"
"93211","ENSXMAP00000010720","12.9704523714964","7.36632921052681","6.15303662374799","53.6165715112935","30.151338968848","55.4247405808575","24.7599196003921","13.2783176099847",25.4650883096434,-1.2392866422504,0.565738539785333,-2.19056428915139,0.028483337741653,0.178504112443457,25.4650883096434,1.2028171366132,0.599642608033795,2.0058900426659,0.0448679808562772,0.25687913527943,25.4650883096434,-2.4421037788636,0.509062224095902,-4.7972598697552,1.60850862023303e-06,0.000539905900238383,"TRINITY_DN118770_c0_g1_i1","TRINITY_DN118770_c0_g1","Transcript_68915","gi|831566952|ref|XP_012733549.1| PREDICTED: alpha-1-antitrypsin homolog isoform X2 [Fundulus heteroclitus]"
"37698","ENSORLP00000025702","2.00846982251322","0.559729829309381","3.00715930775628","33.4723651463317","17.2926186037816","92.3701883207267","2.80145251974198","23.5865306677565",21.8873142772397,-1.92250883118829,1.01731845345561,-1.8897807512072,0.0587872889686111,0.276151378639,21.8873142772397,2.77041617069784,1.13207240870749,2.44720757204999,0.014396789935085,0.128032472442658,21.8873142772397,-4.69292500188613,1.00093963248843,-4.68851951662567,2.75188674215891e-06,0.000836762055009609,"TRINITY_DN117294_c1_g1_i1","TRINITY_DN117294_c1_g1","Transcript_165204","gi|831481378|ref|XP_012727316.1| PREDICTED: trypsin-3-like isoform X3 [Fundulus heteroclitus]"
