"","GeneID","F_grandis_BW_1.quant","F_grandis_BW_2.quant","F_grandis_BW_3.quant","F_grandis_FW_1.quant","F_grandis_FW_2.quant","F_grandis_FW_3.quant","F_grandis_transfer_1.quant","F_grandis_transfer_2.quant","F_grandis_transfer_3.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"169396","gi|831544311|ref|XP_012725830.1| PREDICTED: dentin sialophosphoprotein-like [Fundulus heteroclitus]","695.302757537114","687.251038435494","707.398713837911","523.490939048645","152.010000376021","131.837422782547","77.9419310847074","134.862828952032","72.1175758541149",353.579245323176,-1.51967815369738,0.498451187692188,-3.04880034639588,0.00229757119274185,0.0832419053213482,353.579245323176,-2.88246624022197,0.497338278825408,-5.79578601315318,6.80019265898555e-09,5.71143324147725e-06,"TRINITY_DN361277_c5_g2_i2","TRINITY_DN361277_c5_g2","Transcript_190643","gi|831544311|ref|XP_012725830.1| PREDICTED: dentin sialophosphoprotein-like [Fundulus heteroclitus]"
"2620","ENSDARP00000051359","9423.19350664667","5170.08319477909","6875.95733163215","11354.823076341","6891.73702589513","33811.3654927318","73170.1940369364","42703.903184478","42883.8006105016",25809.4508288824,1.6087135044802,0.500716940114087,3.21282020958521,0.00131438540525767,0.0580862773454872,25809.4508288824,2.88620458408935,0.500812154054098,5.76304820225586,8.26081896166015e-09,6.69895446625386e-06,"TRINITY_DN362501_c8_g1_i1","TRINITY_DN362501_c8_g1","Transcript_255466","gi|831495909|ref|XP_012708842.1| PREDICTED: myosin-6-like [Fundulus heteroclitus]"
"2621","ENSDARP00000051359","9423.19350664667","5170.08319477909","6875.95733163215","11354.823076341","6891.73702589513","33811.3654927318","73170.1940369364","42703.903184478","42883.8006105016",25809.4508288824,1.6087135044802,0.500716940114087,3.21282020958521,0.00131438540525767,0.0580862773454872,25809.4508288824,2.88620458408935,0.500812154054098,5.76304820225586,8.26081896166015e-09,6.69895446625386e-06,"TRINITY_DN362501_c8_g1_i1","TRINITY_DN362501_c8_g1","Transcript_255466","gi|831550922|ref|XP_012728167.1| PREDICTED: myosin heavy chain, fast skeletal muscle-like isoform X1 [Fundulus heteroclitus]"
"2622","ENSDARP00000051359","9423.19350664667","5170.08319477909","6875.95733163215","11354.823076341","6891.73702589513","33811.3654927318","73170.1940369364","42703.903184478","42883.8006105016",25809.4508288824,1.6087135044802,0.500716940114087,3.21282020958521,0.00131438540525767,0.0580862773454872,25809.4508288824,2.88620458408935,0.500812154054098,5.76304820225586,8.26081896166015e-09,6.69895446625386e-06,"TRINITY_DN362501_c8_g1_i1","TRINITY_DN362501_c8_g1","Transcript_255466","gi|831526882|ref|XP_012719566.1| PREDICTED: myosin-16-like isoform X1 [Fundulus heteroclitus]"
"2623","ENSDARP00000051359","9423.19350664667","5170.08319477909","6875.95733163215","11354.823076341","6891.73702589513","33811.3654927318","73170.1940369364","42703.903184478","42883.8006105016",25809.4508288824,1.6087135044802,0.500716940114087,3.21282020958521,0.00131438540525767,0.0580862773454872,25809.4508288824,2.88620458408935,0.500812154054098,5.76304820225586,8.26081896166015e-09,6.69895446625386e-06,"TRINITY_DN362501_c8_g1_i1","TRINITY_DN362501_c8_g1","Transcript_255466","gi|831550925|ref|XP_012728168.1| PREDICTED: myosin heavy chain, fast skeletal muscle-like isoform X2 [Fundulus heteroclitus]"
"2624","ENSDARP00000051359","9423.19350664667","5170.08319477909","6875.95733163215","11354.823076341","6891.73702589513","33811.3654927318","73170.1940369364","42703.903184478","42883.8006105016",25809.4508288824,1.6087135044802,0.500716940114087,3.21282020958521,0.00131438540525767,0.0580862773454872,25809.4508288824,2.88620458408935,0.500812154054098,5.76304820225586,8.26081896166015e-09,6.69895446625386e-06,"TRINITY_DN362501_c8_g1_i1","TRINITY_DN362501_c8_g1","Transcript_255466","gi|831580635|ref|XP_012738244.1| PREDICTED: myosin-7-like [Fundulus heteroclitus]"
"2625","ENSDARP00000051359","9423.19350664667","5170.08319477909","6875.95733163215","11354.823076341","6891.73702589513","33811.3654927318","73170.1940369364","42703.903184478","42883.8006105016",25809.4508288824,1.6087135044802,0.500716940114087,3.21282020958521,0.00131438540525767,0.0580862773454872,25809.4508288824,2.88620458408935,0.500812154054098,5.76304820225586,8.26081896166015e-09,6.69895446625386e-06,"TRINITY_DN362501_c8_g1_i1","TRINITY_DN362501_c8_g1","Transcript_255466","gi|831526885|ref|XP_012719567.1| PREDICTED: myosin-16-like isoform X2 [Fundulus heteroclitus]"
"2626","ENSDARP00000051359","9423.19350664667","5170.08319477909","6875.95733163215","11354.823076341","6891.73702589513","33811.3654927318","73170.1940369364","42703.903184478","42883.8006105016",25809.4508288824,1.6087135044802,0.500716940114087,3.21282020958521,0.00131438540525767,0.0580862773454872,25809.4508288824,2.88620458408935,0.500812154054098,5.76304820225586,8.26081896166015e-09,6.69895446625386e-06,"TRINITY_DN362501_c8_g1_i1","TRINITY_DN362501_c8_g1","Transcript_255466","gi|831550928|ref|XP_012728169.1| PREDICTED: myosin heavy chain, fast skeletal muscle [Fundulus heteroclitus]"
"2627","ENSDARP00000051359","9423.19350664667","5170.08319477909","6875.95733163215","11354.823076341","6891.73702589513","33811.3654927318","73170.1940369364","42703.903184478","42883.8006105016",25809.4508288824,1.6087135044802,0.500716940114087,3.21282020958521,0.00131438540525767,0.0580862773454872,25809.4508288824,2.88620458408935,0.500812154054098,5.76304820225586,8.26081896166015e-09,6.69895446625386e-06,"TRINITY_DN362501_c8_g1_i1","TRINITY_DN362501_c8_g1","Transcript_255466","gi|831545960|ref|XP_012726423.1| PREDICTED: myosin heavy chain, fast skeletal muscle-like [Fundulus heteroclitus]"
"2628","ENSDARP00000051359","9423.19350664667","5170.08319477909","6875.95733163215","11354.823076341","6891.73702589513","33811.3654927318","73170.1940369364","42703.903184478","42883.8006105016",25809.4508288824,1.6087135044802,0.500716940114087,3.21282020958521,0.00131438540525767,0.0580862773454872,25809.4508288824,2.88620458408935,0.500812154054098,5.76304820225586,8.26081896166015e-09,6.69895446625386e-06,"TRINITY_DN362501_c8_g1_i1","TRINITY_DN362501_c8_g1","Transcript_255466","gi|831545926|ref|XP_012726407.1| PREDICTED: myosin heavy chain, fast skeletal muscle-like [Fundulus heteroclitus]"
