"","GeneID","F_similis_BW_1.quant","F_similis_BW_2.quant","F_similis_BW_3.quant","F_similis_FW_1.quant","F_similis_FW_2.quant","F_similis_FW_3.quant","F_similis_transfer_1.quant","F_similis_transfer_2.quant","F_similis_transfer_3.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","baseMean_BW_v_FW","log2FC_BW_v_FW","lfcSE_BW_v_FW","stat_BW_v_FW","pvalue_BW_v_FW","padj_BW_v_FW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"42612","ENSTRUP00000018376","246.139737273871","270.102366909882","230.978737245768","47.5150734022549","53.4602496270869","52.8395048513487","162.001698065775","110.086484032365","80.9077492134777",139.336844513537,1.21515043437193,0.338808472282723,3.58654087421384,0.000335093559900235,0.0895420892341007,139.336844513537,-1.06834434444942,0.319014184996112,-3.34889291666589,0.000811351472965537,0.160906624755218,139.336844513537,2.28349477882135,0.332671804821589,6.86410674341936,6.69085878111204e-12,3.53110072173188e-08,"TRINITY_DN167617_c1_g1_i1","TRINITY_DN167617_c1_g1","Transcript_118759","gi|831512842|ref|XP_012714709.1| PREDICTED: calpain-11 [Fundulus heteroclitus]"
"151486","gi|831537491|ref|XP_012723333.1| PREDICTED: retbindin [Fundulus heteroclitus]","6.73448143670099","4.93424769392962","0","204.12767213259","185.761950590248","80.9460627338797","44.5465838270974","6.32472544138225","28.5931065439573",62.4409811555316,-2.53937326172332,0.763620913144771,-3.32543703035265,0.000882800388881117,0.154015836440334,62.4409811555316,2.7189016190817,0.849721408915727,3.19975652084736,0.00137543727975593,0.231890456996148,62.4409811555316,-5.25827488080503,0.836088066746706,-6.28913997213888,3.19229540643408e-10,8.42366950372793e-07,"TRINITY_DN158461_c0_g1_i2","TRINITY_DN158461_c0_g1","Transcript_371266","gi|831537491|ref|XP_012723333.1| PREDICTED: retbindin [Fundulus heteroclitus]"
"131171","ENSXMAP00000018699","46.9577405753808","50.3488935562121","18.0839999590296","621.27304041071","199.673457903341","327.613942443957","97.5667716901957","80.9807455419975","147.378006577229",176.65295540645,-1.81690194047387,0.520537007702698,-3.49043759346229,0.000482230224942245,0.107156632089798,176.65295540645,1.49157515856127,0.533404053372797,2.79633262838895,0.00516861744486078,0.466744988289958,176.65295540645,-3.30847709903514,0.528700931361917,-6.2577478169229,3.9057671453633e-10,9.16119382651326e-07,"TRINITY_DN165231_c1_g1_i6","TRINITY_DN165231_c1_g1","Transcript_38600","gi|831576081|ref|XP_012736639.1| PREDICTED: calpain-2 catalytic subunit-like [Fundulus heteroclitus]"
"131172","ENSXMAP00000018699","46.9577405753808","50.3488935562121","18.0839999590296","621.27304041071","199.673457903341","327.613942443957","97.5667716901957","80.9807455419975","147.378006577229",176.65295540645,-1.81690194047387,0.520537007702698,-3.49043759346229,0.000482230224942245,0.107156632089798,176.65295540645,1.49157515856127,0.533404053372797,2.79633262838895,0.00516861744486078,0.466744988289958,176.65295540645,-3.30847709903514,0.528700931361917,-6.2577478169229,3.9057671453633e-10,9.16119382651326e-07,"TRINITY_DN165231_c1_g1_i4","TRINITY_DN165231_c1_g1","Transcript_38598","gi|831576081|ref|XP_012736639.1| PREDICTED: calpain-2 catalytic subunit-like [Fundulus heteroclitus]"
"131173","ENSXMAP00000018699","46.9577405753808","50.3488935562121","18.0839999590296","621.27304041071","199.673457903341","327.613942443957","97.5667716901957","80.9807455419975","147.378006577229",176.65295540645,-1.81690194047387,0.520537007702698,-3.49043759346229,0.000482230224942245,0.107156632089798,176.65295540645,1.49157515856127,0.533404053372797,2.79633262838895,0.00516861744486078,0.466744988289958,176.65295540645,-3.30847709903514,0.528700931361917,-6.2577478169229,3.9057671453633e-10,9.16119382651326e-07,"TRINITY_DN165231_c1_g1_i1","TRINITY_DN165231_c1_g1","Transcript_38595","gi|831576081|ref|XP_012736639.1| PREDICTED: calpain-2 catalytic subunit-like [Fundulus heteroclitus]"
"41881","ENSTRUP00000012540","7.57781078879896","7.00056131219859","15.3282884461834","319.866974649062","92.2561331558068","60.0174308348793","23.7938822951618","44.5117705719951","24.2103031658904",66.0625728022196,-2.37101136654324,0.673042204119431,-3.52282717492483,0.000426969683761509,0.101273371058488,66.0625728022196,1.63373088970654,0.713316600716414,2.29033067233499,0.0220021550542374,0.89882430125415,66.0625728022196,-4.00474225624977,0.698968967555222,-5.72949936569734,1.00727466051523e-08,1.34964838669553e-05,"TRINITY_DN163418_c10_g1_i2","TRINITY_DN163418_c10_g1","Transcript_245670","gi|831500251|ref|XP_012710366.1| PREDICTED: ubiquitin-fold modifier 1 [Fundulus heteroclitus]"
"135158","ENSXMAP00000019885","99.3448145252426","132.969536096712","112.875884014438","573.467065262452","263.323059791545","426.88036607487","226.244355640943","190.100866875319","213.430029331014",248.737330845837,-1.00362710214313,0.330404476540872,-3.0375711390187,0.00238493104157965,0.26316552350671,248.737330845837,0.872959583402529,0.335439307795896,2.60243675417341,0.00925638865320863,0.614487398201071,248.737330845837,-1.87658668554566,0.332821237085561,-5.63842230134862,1.71615223316304e-08,1.90673545484588e-05,"TRINITY_DN159411_c0_g1_i2","TRINITY_DN159411_c0_g1","Transcript_137538","gi|831550290|ref|XP_012727939.1| PREDICTED: claudin-4-like [Fundulus heteroclitus]"
"6851","ENSGACP00000006306","172.754200930637","190.165517497478","159.408730080064","19.5558169498509","46.1714492091744","47.2796583751266","99.0146654523995","65.7275637876532","70.5147269349292",96.7324810241459,1.09093695664773,0.405797776508904,2.68837588523306,0.00718005220058041,0.405060201579126,96.7324810241459,-1.13784119836214,0.383168648081353,-2.96955714946845,0.00298229333700363,0.351380418271366,96.7324810241459,2.22877815500987,0.397916746413203,5.601116753944,2.12975221229301e-08,2.24795346007527e-05,"TRINITY_DN167617_c3_g1_i8","TRINITY_DN167617_c3_g1","Transcript_118770","gi|831512842|ref|XP_012714709.1| PREDICTED: calpain-11 [Fundulus heteroclitus]"
"150944","gi|831534737|ref|XP_012722358.1| PREDICTED: heme oxygenase 2-like [Fundulus heteroclitus]","16.1529354479338","7.91011082270073","8.64736775905422","100.383867513129","101.92237333689","61.5749041673496","40.2179906663456","63.7232565978628","21.7522090030662",46.920557257148,-1.08599416671543,0.517062204974419,-2.10031627968082,0.0357010281282438,0.549311152195165,46.920557257148,1.88739010374952,0.557819170826565,3.38351602536862,0.000715640309361914,0.14557061198439,46.920557257148,-2.97338427046495,0.549581720539773,-5.41026777154203,6.29305811566283e-08,6.32602175341154e-05,"TRINITY_DN154067_c0_g1_i1","TRINITY_DN154067_c0_g1","Transcript_141890","gi|831534737|ref|XP_012722358.1| PREDICTED: heme oxygenase 2-like [Fundulus heteroclitus]"
"150945","gi|831534737|ref|XP_012722358.1| PREDICTED: heme oxygenase 2-like [Fundulus heteroclitus]","16.1529354479338","7.91011082270073","8.64736775905422","100.383867513129","101.92237333689","61.5749041673496","40.2179906663456","63.7232565978628","21.7522090030662",46.920557257148,-1.08599416671543,0.517062204974419,-2.10031627968082,0.0357010281282438,0.549311152195165,46.920557257148,1.88739010374952,0.557819170826565,3.38351602536862,0.000715640309361914,0.14557061198439,46.920557257148,-2.97338427046495,0.549581720539773,-5.41026777154203,6.29305811566283e-08,6.32602175341154e-05,"TRINITY_DN154067_c0_g1_i1","TRINITY_DN154067_c0_g1","Transcript_141890","gi|831534746|ref|XP_012722361.1| PREDICTED: heme oxygenase 2-like [Fundulus heteroclitus]"
