A_xenica.trinity_out.Trinity.fasta,F_catanatus.trinity_out.Trinity.fasta,F_chrysotus.trinity_out.Trinity.fasta,F_diaphanus.trinity_out.Trinity.fasta,F_grandis.trinity_out.Trinity.fasta,F_heteroclitusMDPL.trinity_out.Trinity.fasta,F_heteroclitusMDPP.trinity_out.Trinity.fasta,F_notatus.trinity_out.Trinity.fasta,F_notti.trinity_out.Trinity.fasta,F_olivaceous.trinity_out.Trinity.fasta,F_parvapinis.trinity_out.Trinity.fasta,F_rathbuni.trinity_out.Trinity.fasta,F_sciadicus.trinity_out.Trinity.fasta,F_similis.trinity_out.Trinity.fasta,F_zebrinus.trinity_out.Trinity.fasta,L_goodei.trinity_out.Trinity.fasta,L_parva.trinity_out.Trinity.fasta,rna.fa
1.0,0.06768979955281586,0.058510465682297584,0.06868271284114015,0.05136668721835416,0.05739696661608045,0.051563348036069,0.06529632417592844,0.06513672432494148,0.07000246321209606,0.037703862378931044,0.06367574239153864,0.06748759476357193,0.05044747383029703,0.0644487474651989,0.03973556227967684,0.03991049673030559,0.06535855845725691
0.06768979955281586,1.0,0.07281254682901789,0.17432944638107592,0.10764706791952951,0.11504570786077435,0.10171277923304366,0.0863701802704056,0.07988110084220237,0.09138274148224447,0.053296861224054796,0.17190949401919173,0.08638742457681063,0.07354408214562343,0.08528078980213717,0.05164585513085029,0.052723252532379174,0.10907046301869713
0.058510465682297584,0.07281254682901789,1.0,0.07303047157443089,0.055565242376540105,0.05842436615348032,0.052914159862483885,0.07787723824870914,0.16315266585715862,0.08294362386807866,0.03901787961125463,0.06900371558468534,0.07613870170073805,0.05191683620890754,0.09665765376837608,0.03981619329350425,0.04123990729665072,0.06642442186483637
0.06868271284114015,0.17432944638107592,0.07303047157443089,1.0,0.11154605079207841,0.12029270090619082,0.11281197418023416,0.08473752430330525,0.08357326628727972,0.0914867374372904,0.054442868760459444,0.25941045954337516,0.08934507447420571,0.07612186007498889,0.08815146899486519,0.0525567699958614,0.052721093997860936,0.11424911975313526
0.05136668721835416,0.10764706791952951,0.055565242376540105,0.11154605079207841,1.0,0.18873092575732817,0.1737434369475367,0.06374315329849203,0.05195077484047402,0.06587797185524832,0.04066236665839742,0.11161248115868402,0.05877283068287072,0.06415998333506927,0.059212601039021394,0.04129734438400673,0.04239581454086235,0.12140531787677893
0.05739696661608045,0.11504570786077435,0.05842436615348032,0.12029270090619082,0.18873092575732817,1.0,0.37808271255763953,0.06847635627161842,0.06011966662145258,0.07111085697776601,0.04283315739795993,0.11523498636140053,0.0660090918054748,0.06613920104199864,0.0651311228915017,0.04609124111510299,0.046600535512314474,0.22170105742399765
0.051563348036069,0.10171277923304366,0.052914159862483885,0.11281197418023416,0.1737434369475367,0.37808271255763953,1.0,0.062068747230486804,0.05353147151763601,0.06415532664000823,0.0393448426097375,0.10829461921434183,0.058998031636850995,0.06140346354717137,0.05848884144920068,0.041596205857565426,0.04186213109013683,0.20100018840567838
0.06529632417592844,0.0863701802704056,0.07787723824870914,0.08473752430330525,0.06374315329849203,0.06847635627161842,0.062068747230486804,1.0,0.08134047861339987,0.2566067751503483,0.043978898559349354,0.08167764781994313,0.08680726567036909,0.059015740417338994,0.07997597087727881,0.043568510198650615,0.044024966854140056,0.07389134871493307
0.06513672432494148,0.07988110084220237,0.16315266585715862,0.08357326628727972,0.05195077484047402,0.06011966662145258,0.05353147151763601,0.08134047861339987,1.0,0.09124639704960882,0.045279229817840196,0.07027974636329727,0.09642213670235639,0.05493854869667513,0.09946565170740561,0.042847047122154654,0.042713316969671754,0.08982637292690689
0.07000246321209606,0.09138274148224447,0.08294362386807866,0.0914867374372904,0.06587797185524832,0.07111085697776601,0.06415532664000823,0.2566067751503483,0.09124639704960882,1.0,0.0473074954175405,0.08613810219153552,0.09520219056311759,0.06310670692495667,0.08786550841541922,0.04681491668446913,0.04661304701857377,0.07887398375901818
0.037703862378931044,0.053296861224054796,0.03901787961125463,0.054442868760459444,0.04066236665839742,0.04283315739795993,0.0393448426097375,0.043978898559349354,0.045279229817840196,0.0473074954175405,1.0,0.049920141762943446,0.046615997104596456,0.03870985177889351,0.04632550750485211,0.03505638381421674,0.03542283977254203,0.05014501320820941
0.06367574239153864,0.17190949401919173,0.06900371558468534,0.25941045954337516,0.11161248115868402,0.11523498636140053,0.10829461921434183,0.08167764781994313,0.07027974636329727,0.08613810219153552,0.049920141762943446,1.0,0.07891346904827111,0.07207447246837008,0.07799046727664549,0.04895820468940209,0.04974292033380455,0.09764135702746365
0.06748759476357193,0.08638742457681063,0.07613870170073805,0.08934507447420571,0.05877283068287072,0.0660090918054748,0.058998031636850995,0.08680726567036909,0.09642213670235639,0.09520219056311759,0.046615997104596456,0.07891346904827111,1.0,0.059360444907890164,0.09123361745027954,0.045179713060266594,0.04464457217157464,0.08436912364862112
